SEED-3141592  sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TRAIN    TIME     FITNESS  TRAIN    TIME     FITNESS       TRAIN         TIME
1NN           84.4231  84.4231  0.0016   95.2901  95.2901  0.0064   83.0870       83.0870       0.0070
RANDOM        85.0000  84.5192  0.0000   95.3600  95.3600  0.0000   83.6957       82.8696       0.0000
RELIEF        82.9808  87.1154  0.0028   95.5712  95.8524  0.0122   85.3043       87.5217       0.0130
RELIEF+LS     83.2692  91.9231  2.5444   95.5712  97.1522  4.5185   84.6087       94.0870       13.4381
RANDOM+LS     84.3269  89.2308  2.2069   95.5709  96.8012  5.5319   83.4783       91.0000       13.0297
AGG-BLX       83.1731  92.7885  22.7038  95.3954  97.6444  93.1809  84.0000       93.2174       105.1409
AGG-CA        84.5192  90.5769  22.5487  95.5010  97.3991  92.5107  83.0870       91.4348       104.0486
AGE-BLX       84.8077  92.7885  22.5576  95.1142  97.9612  95.9102  84.9565       93.0000       104.0467
AGE-CA        83.9423  90.2885  22.4823  95.3955  97.3634  92.8954  84.3043       90.9565       103.9170
AM-10-1.0     83.7500  91.6346  23.4874  95.1142  97.3989  98.4587  83.1739       92.6957       111.3173
AM-10-0.1     84.5192  91.4423  23.0424  95.1843  97.3986  94.0974  83.6087       92.7391       104.5028
AM-10-0.1mej  83.9423  91.3462  22.8484  95.2536  97.6799  94.0492  84.1304       91.7826       104.5874
